course_name,internship_role,government_department,sector,location_city,minimum_age,maximum_age,duration_months,stipend_per_month_inr,mode,minimum_percentage_required,skill_requirement,certificate_provided,pre_placement_offer_possibility,application_mode,stipend_bucket,duration_bucket
ITI Fitter,Social Welfare Intern,District Administration Office,social welfare,chandigarh,21,22,1,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
B.Tech Mechanical,HR Intern,Haryana IT Department,agriculture,chandigarh,18,27,6,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
B.Tech Electrical,HR Intern,Haryana Women & Child Development,agriculture,faridabad,19,29,3,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Tech Electrical,Junior Mechanical Intern,Haryana Renewable Energy Department,agriculture,bhiwani,19,23,1,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
B.Pharmacy,Legal Research Intern,Haryana IT Department,infrastructure,ambala,20,29,4,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
LLM,Agriculture Field Intern,Haryana Renewable Energy Department,healthcare,sirsa,19,26,1,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
BSc Environmental Science,Social Welfare Intern,Haryana Public Works Department,it & digital,faridabad,21,23,3,12000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
Diploma Mechanical,Banking Operations Intern,Haryana Renewable Energy Department,finance & accounts,bhiwani,20,22,4,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
ITI Electrician,Digital Governance Intern,Haryana Renewable Energy Department,it & digital,ambala,18,26,6,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
LLB,Renewable Energy Intern,Haryana Renewable Energy Department,it & digital,faridabad,19,23,1,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,very_short
ITI Fitter,Public Policy Intern,Haryana Health Department,finance & accounts,bhiwani,19,30,4,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
BSc IT,Banking Operations Intern,Haryana IT Department,legal & judiciary,faridabad,19,25,1,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
MBBS,Banking Operations Intern,Haryana Education Department,infrastructure,gurgaon,18,28,4,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
Diploma Civil,Water Resource Management Intern,Haryana Agriculture Department,it & digital,chandigarh,18,24,6,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
Diploma Mechanical,Digital Governance Intern,Haryana Public Works Department,healthcare,jind,19,23,4,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
ITI Welder,Electrical Maintenance Intern,Haryana Public Works Department,legal & judiciary,yamunanagar,18,29,2,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
ITI Welder,Renewable Energy Intern,Haryana Police Department,education,sirsa,21,24,6,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
ITI Electrician,Public Policy Intern,Haryana Women & Child Development,energy,kaithal,20,28,6,20000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
BA Economics,Urban Planning Intern,Haryana Public Works Department,it & digital,rohtak,19,25,1,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,very_short
ITI Welder,Social Welfare Intern,District Administration Office,legal & judiciary,faridabad,20,28,1,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
MBBS,Accounts Intern,Haryana Public Works Department,finance & accounts,jind,20,29,1,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
B.Tech Computer Science,Accounts Intern,Haryana Health Department,infrastructure,sonipat,18,25,6,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
BCA,Hospital Administration Intern,Haryana Skill Development Mission,energy,gurgaon,18,27,2,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
LLB,HR Intern,Haryana Police Department,social welfare,hisar,18,27,4,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
Diploma Civil,Agriculture Field Intern,Haryana Irrigation Department,social welfare,bhiwani,21,25,2,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
BCA,Renewable Energy Intern,Haryana Skill Development Mission,it & digital,sonipat,18,27,1,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,very_short
B.Tech Civil,Junior Mechanical Intern,Haryana Urban Local Bodies,agriculture,panipat,21,25,6,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
M.Ed,Software Development Intern,Haryana Revenue Department,finance & accounts,sirsa,19,27,4,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
ITI Electrician,Digital Governance Intern,Haryana Women & Child Development,healthcare,ambala,19,27,3,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Civil,Accounts Intern,Haryana Police Department,public administration,karnal,20,23,1,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
BSc Environmental Science,Water Resource Management Intern,Haryana Urban Local Bodies,healthcare,bhiwani,18,24,1,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
BSc IT,Legal Research Intern,Haryana Health Department,social welfare,ambala,21,29,2,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Tech Computer Science,Transport Operations Intern,Haryana Women & Child Development,energy,bhiwani,18,25,1,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
B.Ed,Banking Operations Intern,Haryana Social Justice Department,energy,faridabad,19,30,4,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
B.Com,Legal Research Intern,District Administration Office,it & digital,rohtak,20,22,6,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
BA Political Science,Electrical Maintenance Intern,Haryana Urban Local Bodies,public administration,jind,21,28,4,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
ITI Electrician,Public Policy Intern,Haryana IT Department,healthcare,ambala,18,26,3,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
ITI Electrician,Clinical Intern,District Administration Office,social welfare,yamunanagar,18,29,6,10000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
ITI Welder,Legal Research Intern,Haryana Health Department,infrastructure,jind,19,26,1,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
M.Ed,Renewable Energy Intern,Haryana Irrigation Department,agriculture,chandigarh,21,29,6,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
M.Ed,Clinical Intern,Haryana Social Justice Department,it & digital,chandigarh,18,22,3,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
Diploma Mechanical,Banking Operations Intern,Haryana Renewable Energy Department,energy,gurgaon,21,24,4,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
LLM,Transport Operations Intern,Haryana Urban Local Bodies,infrastructure,gurgaon,21,29,1,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
BSc Biotechnology,Water Resource Management Intern,Haryana Renewable Energy Department,social welfare,chandigarh,18,24,6,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
BA Political Science,Electrical Maintenance Intern,Haryana Police Department,education,bhiwani,20,27,4,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
MBA,Legal Research Intern,Haryana Health Department,energy,yamunanagar,20,26,1,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,very_short
BA Political Science,Data Analyst Intern,Haryana Social Justice Department,energy,kaithal,19,22,2,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
ITI Welder,Transport Operations Intern,Haryana Urban Local Bodies,social welfare,sirsa,20,25,4,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,medium
BA Economics,Public Policy Intern,Haryana Public Works Department,legal & judiciary,chandigarh,21,22,1,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,very_short
MCA,Junior Mechanical Intern,Haryana Renewable Energy Department,legal & judiciary,hisar,20,30,6,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
Diploma Civil,Agriculture Field Intern,Haryana Skill Development Mission,education,chandigarh,18,26,2,8000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
BSc Environmental Science,Legal Research Intern,Haryana Health Department,legal & judiciary,panipat,19,29,3,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
MCA,Civil Site Intern,Haryana IT Department,agriculture,kaithal,18,24,1,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,very_short
B.Tech Mechanical,HR Intern,Haryana Education Department,healthcare,ambala,19,27,4,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Tech Mechanical,Social Welfare Intern,Haryana Education Department,social welfare,faridabad,18,25,4,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
MCA,Civil Site Intern,Haryana IT Department,energy,hisar,18,26,1,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
M.Ed,Clinical Intern,Haryana Education Department,healthcare,panipat,19,23,2,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Mechanical,HR Intern,Haryana Education Department,healthcare,faridabad,20,27,1,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
LLB,Urban Planning Intern,Haryana Urban Local Bodies,legal & judiciary,jind,19,30,3,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
ITI Electrician,Water Resource Management Intern,Haryana Transport Department,legal & judiciary,chandigarh,21,29,6,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
BSc Biotechnology,Civil Site Intern,District Administration Office,legal & judiciary,sirsa,19,26,6,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
LLB,Digital Governance Intern,Haryana IT Department,it & digital,karnal,21,22,2,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Computer Science,Hospital Administration Intern,Haryana Urban Local Bodies,healthcare,hisar,20,28,1,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
B.Pharmacy,Water Resource Management Intern,District Administration Office,agriculture,sonipat,21,24,2,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
BSc Biotechnology,Accounts Intern,Haryana Police Department,legal & judiciary,sirsa,20,29,2,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
MBA,Hospital Administration Intern,District Administration Office,it & digital,panipat,20,26,1,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,very_short
Diploma Civil,Digital Governance Intern,District Administration Office,infrastructure,ambala,20,30,6,0,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,medium
BCA,Data Analyst Intern,Haryana Education Department,healthcare,jind,18,29,2,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
MBBS,Junior Mechanical Intern,Haryana Police Department,education,kaithal,18,22,4,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Pharmacy,Clinical Intern,Haryana Police Department,agriculture,karnal,18,22,1,20000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
D.Pharmacy,Clinical Intern,Haryana Social Justice Department,legal & judiciary,sonipat,21,25,3,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BA Economics,Accounts Intern,Haryana Urban Local Bodies,finance & accounts,kaithal,18,26,6,10000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
D.Pharmacy,Banking Operations Intern,Haryana Public Works Department,agriculture,hisar,19,23,4,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
BA Economics,Clinical Intern,Haryana Police Department,finance & accounts,sonipat,19,26,6,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
BCA,Banking Operations Intern,Haryana IT Department,agriculture,faridabad,18,27,6,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
MBBS,Clinical Intern,Haryana Urban Local Bodies,social welfare,hisar,19,25,6,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,medium
BA Political Science,Digital Governance Intern,Haryana Renewable Energy Department,education,yamunanagar,20,22,3,10000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
B.Tech Civil,Social Welfare Intern,Haryana Agriculture Department,social welfare,jind,18,24,2,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
B.Ed,Transport Operations Intern,Haryana Women & Child Development,education,gurgaon,20,26,4,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
LLB,Electrical Maintenance Intern,District Administration Office,it & digital,hisar,19,22,4,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
B.Pharmacy,Hospital Administration Intern,Haryana IT Department,social welfare,karnal,21,25,3,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
BSc Nursing,Police Administration Intern,Haryana Police Department,education,sonipat,20,29,3,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
B.Tech Mechanical,Junior Mechanical Intern,Haryana Urban Local Bodies,it & digital,kaithal,18,23,1,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
Diploma Civil,Accounts Intern,Haryana IT Department,healthcare,panipat,21,29,6,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
B.Tech Civil,Junior Mechanical Intern,Haryana Skill Development Mission,agriculture,karnal,19,27,3,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
MBBS,Transport Operations Intern,District Administration Office,it & digital,gurgaon,19,24,6,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
B.Tech Mechanical,Social Welfare Intern,Haryana Agriculture Department,legal & judiciary,chandigarh,19,27,1,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
BA Political Science,Police Administration Intern,Haryana Renewable Energy Department,public administration,faridabad,19,23,2,0,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,unpaid,short
ITI Welder,Software Development Intern,Haryana Women & Child Development,it & digital,panipat,19,25,1,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
LLM,Electrical Maintenance Intern,Haryana Skill Development Mission,agriculture,jind,20,26,6,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
BSc Agriculture,Junior Mechanical Intern,Haryana Police Department,social welfare,bhiwani,18,26,2,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
BSc Biotechnology,Legal Research Intern,Haryana Women & Child Development,social welfare,bhiwani,20,28,2,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
B.Tech Electrical,Agriculture Field Intern,Haryana Police Department,healthcare,kaithal,20,30,4,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
B.Ed,Clinical Intern,Haryana Transport Department,legal & judiciary,faridabad,21,29,4,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
BA Political Science,Digital Governance Intern,District Administration Office,legal & judiciary,karnal,20,28,2,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
LLM,Accounts Intern,Haryana Health Department,public administration,faridabad,19,28,3,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
Diploma Civil,Water Resource Management Intern,Haryana Transport Department,healthcare,kaithal,21,28,3,0,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
MBBS,Electrical Maintenance Intern,Haryana Health Department,social welfare,chandigarh,19,23,3,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
BSc Biotechnology,Public Policy Intern,Haryana Transport Department,legal & judiciary,kaithal,21,27,2,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
LLM,Renewable Energy Intern,Haryana IT Department,legal & judiciary,sirsa,21,29,2,15000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
ITI Welder,Civil Site Intern,Haryana Police Department,legal & judiciary,gurgaon,19,30,6,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
ITI Fitter,Water Resource Management Intern,District Administration Office,education,faridabad,20,26,6,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
BSc Environmental Science,Banking Operations Intern,Haryana Transport Department,social welfare,bhiwani,21,28,6,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
B.Com,HR Intern,Haryana Irrigation Department,infrastructure,yamunanagar,21,23,6,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
ITI Welder,Data Analyst Intern,Haryana Social Justice Department,healthcare,bhiwani,20,24,6,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
BSc IT,Software Development Intern,Haryana Renewable Energy Department,public administration,yamunanagar,18,28,1,15000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
B.Tech Civil,Public Policy Intern,Haryana Police Department,it & digital,yamunanagar,21,27,1,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,very_short
BCA,Social Welfare Intern,Haryana Skill Development Mission,healthcare,karnal,21,29,4,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Tech Computer Science,Water Resource Management Intern,Haryana Education Department,it & digital,chandigarh,18,26,3,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
B.Tech Electrical,Legal Research Intern,District Administration Office,social welfare,yamunanagar,19,29,3,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
MBBS,Clinical Intern,Haryana Women & Child Development,education,yamunanagar,20,28,3,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,short
B.Tech Civil,Data Analyst Intern,Haryana Skill Development Mission,public administration,sonipat,20,23,6,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
BA Political Science,Civil Site Intern,Haryana Education Department,energy,kaithal,19,25,4,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
B.Tech Electrical,Data Analyst Intern,Haryana Health Department,public administration,rohtak,18,30,2,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Tech Electrical,Banking Operations Intern,Haryana Revenue Department,it & digital,chandigarh,21,26,6,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
M.Ed,Social Welfare Intern,Haryana Irrigation Department,healthcare,kaithal,20,24,1,20000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,very_short
MBBS,HR Intern,Haryana Irrigation Department,it & digital,rohtak,20,22,1,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
B.Tech Computer Science,Renewable Energy Intern,Haryana Renewable Energy Department,energy,bhiwani,21,23,2,10000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
Diploma Civil,Legal Research Intern,Haryana Women & Child Development,education,karnal,21,24,2,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
MBA,Junior Mechanical Intern,Haryana Skill Development Mission,education,jind,21,29,1,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
BA Economics,Agriculture Field Intern,Haryana Education Department,infrastructure,yamunanagar,21,28,4,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
B.Ed,HR Intern,Haryana Public Works Department,agriculture,jind,19,24,2,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
B.Tech Civil,Accounts Intern,Haryana Skill Development Mission,public administration,kaithal,19,30,2,12000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
M.Ed,Urban Planning Intern,Haryana Public Works Department,agriculture,jind,20,23,1,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,very_short
MBBS,Data Analyst Intern,Haryana Health Department,infrastructure,yamunanagar,19,28,1,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
Diploma Mechanical,Police Administration Intern,District Administration Office,healthcare,bhiwani,18,25,1,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
LLB,Agriculture Field Intern,Haryana Education Department,it & digital,karnal,21,22,4,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,medium
B.Pharmacy,Renewable Energy Intern,District Administration Office,infrastructure,kaithal,19,24,3,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
ITI Electrician,Public Policy Intern,Haryana Skill Development Mission,it & digital,karnal,21,30,6,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
M.Ed,Banking Operations Intern,Haryana Police Department,agriculture,karnal,18,25,2,20000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
MBBS,Software Development Intern,Haryana Public Works Department,infrastructure,hisar,20,24,3,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
LLM,Legal Research Intern,Haryana Police Department,social welfare,sonipat,19,25,4,15000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
Diploma Civil,Agriculture Field Intern,Haryana Transport Department,social welfare,faridabad,19,24,4,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
ITI Electrician,Digital Governance Intern,Haryana Women & Child Development,energy,yamunanagar,18,22,3,10000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
BSc Biotechnology,Digital Governance Intern,Haryana Revenue Department,public administration,karnal,21,27,1,8000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
B.Pharmacy,Junior Mechanical Intern,Haryana Social Justice Department,finance & accounts,faridabad,20,22,3,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,short
M.Ed,Renewable Energy Intern,Haryana Health Department,healthcare,hisar,18,22,6,12000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
B.Pharmacy,Civil Site Intern,Haryana Women & Child Development,infrastructure,hisar,21,25,3,20000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
B.Tech Electrical,Accounts Intern,Haryana IT Department,education,sirsa,21,28,2,12000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BA Political Science,Water Resource Management Intern,Haryana Women & Child Development,finance & accounts,chandigarh,19,25,6,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
B.Tech Electrical,Police Administration Intern,Haryana IT Department,agriculture,faridabad,20,25,1,10000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,very_short
BSc IT,Water Resource Management Intern,Haryana Irrigation Department,agriculture,sirsa,18,26,3,0,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
ITI Welder,Hospital Administration Intern,Haryana Health Department,public administration,rohtak,19,29,4,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
BSc Nursing,Social Welfare Intern,Haryana Renewable Energy Department,public administration,faridabad,18,23,1,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
B.Com,Digital Governance Intern,Haryana Women & Child Development,healthcare,rohtak,19,22,6,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
ITI Electrician,Legal Research Intern,Haryana Revenue Department,legal & judiciary,rohtak,20,24,2,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
B.Ed,Renewable Energy Intern,Haryana Skill Development Mission,it & digital,yamunanagar,20,29,6,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,medium
B.Tech Electrical,Police Administration Intern,Haryana Education Department,energy,yamunanagar,18,23,2,10000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
LLB,Water Resource Management Intern,Haryana Revenue Department,agriculture,sirsa,20,29,2,10000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
BCA,Banking Operations Intern,Haryana Skill Development Mission,finance & accounts,ambala,21,24,3,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
MCA,Public Policy Intern,Haryana Police Department,finance & accounts,bhiwani,20,24,4,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
B.Pharmacy,Transport Operations Intern,Haryana Agriculture Department,infrastructure,karnal,19,29,4,0,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
B.Ed,Digital Governance Intern,District Administration Office,education,rohtak,18,30,4,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
BSc Biotechnology,Hospital Administration Intern,District Administration Office,infrastructure,ambala,19,26,6,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
B.Com,Data Analyst Intern,Haryana Women & Child Development,energy,gurgaon,21,25,2,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
ITI Fitter,Public Policy Intern,Haryana Urban Local Bodies,legal & judiciary,bhiwani,20,22,1,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,very_short
Diploma Mechanical,Legal Research Intern,Haryana Transport Department,legal & judiciary,hisar,20,26,4,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
BA Economics,Water Resource Management Intern,Haryana Agriculture Department,public administration,sirsa,18,23,6,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
BSc Agriculture,Civil Site Intern,Haryana Police Department,education,sonipat,21,27,2,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
